Boyut_Bayt,Sifir_Orani,Ortalama_Entropi,Toplam_API,Supheli_API,Etiket
75488,17.99,3.063,1,0,0
26936,22.16,2.956,1,0,0
15800,16.58,2.812,1,0,0
13152,11.29,4.868,0,0,0
17208,22.7,2.529,0,0,0
3424160,41.97,4.571,89,0,0
19280,18.74,2.654,1,0,0
17072,18.3,2.669,1,0,0
15656,18.79,2.833,1,0,0
83752,25.41,4.959,0,0,0
47536,21.89,3.749,1,0,0
198064,27.61,3.379,49,0,0
155648,36.66,2.597,131,1,0
15912,14.55,4.262,0,0,0
20776,19.17,2.813,1,0,0
16168,21.75,2.295,1,0,0
598016,18.7,2.94,174,1,0
5120,42.36,4.012,0,0,0
890600,11.83,5.474,211,1,0
765336,25.49,2.908,1,0,0
4608,56.34,2.596,1,0,0
128808,24.43,5.574,0,0,0
8324904,16.15,5.763,0,0,0
10240,54.05,2.987,0,0,0
87584,26.09,4.051,93,1,0
15160,17.82,3.012,1,0,0
171320,12.25,3.376,1,0,0
16168,17.49,2.864,1,0,0
19752,19.01,2.723,1,0,0
16688,19.31,2.775,1,0,0
19296,19.53,2.778,1,0,0
245760,25.47,2.924,295,1,0
60736,5.43,4.432,0,0,0
514488,15.7,4.915,32,0,0
822664,20.79,4.336,309,1,0
10030,57.79,1.982,16,0,0
20408,17.26,2.918,1,0,0
39624,16.47,2.831,1,0,0
2220976,27.08,2.803,1,0,0
23976,15.54,2.569,1,0,0
90392,20.32,2.925,1,0,0
60160,20.04,2.854,1,0,0
29240,18.86,3.209,0,0,0
38912,28.07,2.811,1,0,0
178616,30.83,2.499,79,1,0
5120,53.81,2.574,1,0,0
24496,14.58,2.625,1,0,0
65848,20.28,3.087,1,0,0
26424,18.89,3.13,1,0,0
9728,36.11,2.95,1,0,0
21304,20.45,2.753,1,0,0
30984,28.4,3.364,58,1,0
28456,19.6,3.023,1,0,0
363264,16.22,2.908,1,0,0
726320,26.24,3.032,1,0,0
6144,42.07,4.031,0,0,0
1028680,18.03,3.309,387,3,0
145760,16.29,2.95,1,0,0
4608,57.51,2.555,1,0,0
14136,19.28,2.523,1,0,0
479744,14.98,3.695,159,1,0
9728,39.29,2.892,1,0,0
709344,18.02,5.252,0,0,0
103928,39.14,2.02,80,1,0
794624,19.78,3.392,208,0,0
70848,12.6,4.218,0,0,0
37072,16.13,3.054,1,0,0
131880,21.53,2.964,1,0,0
70456,8.24,2.862,1,0,0
75600,28.23,4.791,0,0,0
38240,21.09,2.959,1,0,0
263168,50.68,3.228,0,0,0
55192,48.89,1.669,79,0,0
371112,24.23,5.406,227,1,0
20304,19.1,2.997,1,0,0
140792,35.1,3.106,106,0,0
34600,46.87,2.384,0,0,0
14200,20.68,2.717,1,0,0
458752,24.53,3.61,193,0,0
20360,20.24,2.979,1,0,0
139264,41.43,2.559,101,1,0
354584,19.39,4.549,129,1,0
223016,21.19,5.951,0,0,0
15656,17.92,2.817,1,0,0
744832,44.88,3.283,0,0,0
354816,52.61,3.146,0,0,0
608696,23.93,2.828,156,1,0
23448,18.04,3.027,1,0,0
15712,17.97,2.793,1,0,0
22888,46.29,1.776,0,0,0
15712,18.84,2.71,1,0,0
20328,19.53,2.964,1,0,0
90112,39.0,2.544,115,1,0
2860840,16.13,5.705,0,0,0
